demand_id,publication_id,title,abstract,classifications_cpc,judgment
122428-2024,ES2808969A1,SISTEMA DE PERFUSIÓN DE FÁRMACOS EN LAZO CERRADO CON CONTROL SINÉRGICO,"Sistema de perfusión de fármacos en lazo cerrado con control sinérgico. El objetivo de la invención es realizar un sistema de cálculo automático de perfusión de fármacos aplicable a un paciente para, por ejemplo, inducir un estado anestésico satisfactorio en una intervención quirúrgica. El sistema de cálculo automático estaría condicionado por unos valores objetivo de monitores fisiológicos para evaluar el estado del paciente. La perfusión automática consigue aumentar la seguridad del paciente reduciendo la morbididad y mortalidad postintervención y reducir la continua toma de decisiones del especialista. La invención es un sistema electrónico donde se implementa un controlador MIMO-PID que calcula las perfusiones de varios fármacos en base a un error de control definido por desviaciones del estado del paciente, analizado por varios monitores. Las perfusiones automáticas de fármacos están condicionadas por sistemas de seguridad frente a eventos de infra/sobre-infusión y están complementadas con sistemas de corrección y de prealimentación.",A61B5/00; G16H20/17; G16H40/60; A61B5/1106; A61B5/4821; A61B5/4839; A61M5/1408; A61M5/1723; A61M5/16827; A61M2205/50; A61M2005/14208,
122428-2024,ES2493340A1,"Dispositivo, sistema y procedimiento simulador para entrenamiento de profesionales sanitarios en el manejo de pacientes críticamente enfermos que precisen procedimientos de depuración extrarrenal venovenosa continua","Dispositivo, sistema y procedimiento simulador para entrenamiento de profesionales sanitarios en el manejo de pacientes críticamente enfermos que precisen procedimientos de depuración extrarrenal venovenosa continua. El dispositivo (100) comprende: - conectores de entrada/salida para su conexión a un monitor de depuración extrarrenal venovenosa (200) mediante tubos (202); - reguladores de la presión de las líneas del circuito de hemofiltración venovenosa continua mediante oclusión selectiva de la sección de los tubos (202), incluyendo: - regulador de presión de entrada (112), para modificar la presión de la línea arterial de salida del paciente simulado; - regulador de presión de retorno (114), para modificar la presión de retorno al sistema venoso del paciente simulado; - regulador de presión de filtro (116), para modificar la presión a la entrada del filtro de depuración extrarrenal venovenosa continua; - regulador de presión de efluente (118), para modificar la presión de efluente en la línea de ultrafiltrado.",A61M1/34; G09B9/00; A61M1/36,
122428-2024,ES2065820A2,SISTEMA MODULAR DE CONSTRUCCION DE PARAMENTOS Y SIMILARES.,"SISTEMA MODULAR DE CONSTRUCCION DE PARAMENTOS Y SIMILARES. EL SISTEMA ESTA BASADO EN LA UTILIZACION DE PANELES ARMADOS Y ALIGERADOS, MODULABLES EN VERTICAL, LOS CUALES SE POSTENSAN Y SE HORMIGONAN SUS JUNTAS PARA CONSEGUIR UN CONJUNTO MONOLITICO. CADA PANEL (1) INCLUYE INTERNAMENTE UN AISLANTE DE POLIESTILENO EXPANDIDO (2), AFECTATO TRANSVERSALMENTE DE PAREJAS DE ORIFICIOS (5) QUE RIGIDIZAN LAS CAPAS DE HORMIGON PERIMETRAL DEL PROPIO PANEL (1). EN CORRESPONDENCIA CON LA MODULACION SE HAN PREVISTO ORIFICIOS (4), MIENTRAS QUE PERIMETRALMENTE CUENTA CON UNA ACANALADURA (3) EN MEDIA CANA. LA DISPOSICION CONTIGUA DE PANELES IGUALES (1) PERMITE OBTENER PARAMENTOS DE CUALQUIER TIPO, APOYOS DIRECTOS DE FORJADOS, MUROS DE CONTENCION, ETC. Y SU UNION SE REALIZA MEDIANTE VARILLAS Y RELLENO DE MORTERO UBICADOS EN LOS ALOJAMIENTOS QUE CONFORMAN LOS ENFRENTAMIENTOS DE LAS ACANALADURAS (3) Y ORIFICIOS PREVISTOS AL EFECTO LONGITUDI NALMENTE EN LOS PROPIOS PANELES (1), EFECTUANDOSE EL POSTENSADO MEDIANTE VARILLAS PASANTES POR LOS ORIFICIOS (4), QUE SE APRIETAN MEDIANTE TUERCAS EXTREMAS ROSCADAS SOBRE LOS EXTREMOS.",,
122428-2024,ES2537651A1,Sistema modular estandarizado para la construcción de centros sanitarios u hospitalarios,"La invención prevé la distribución de los distintos espacios del hospital de acuerdo con una serie de módulos de idéntica anchura que se disponen paralelamente entre dos pasillos, un pasillo de circulación técnica (PT) y un pasillo de circulación pública (PP), de modo que entre dichos dos pasillos se establecen los comentados módulos (M1-M2-M3) para zonas técnicas, mixtas y públicas, definiéndose tres zonas perfectamente diferenciadas y cuyo flujo de usuarios se ve optimizado. Los módulos se dividen longitudinalmente en sub-módulos con unas dimensiones preestablecidas de manera que las estancias destinadas a implantarse en su seno son proporcionales a dichas medidas, permitiendo múltiples distribuciones ajustándose a dichas medidas. Para ampliar el hospital solo es preciso alargar los comentados pasillos y añadir los módulos que sean necesarios, siendo fácilmente redistribuibles los módulos ya existentes si es necesario debido a su naturaleza modular.",E04H3/08; E04H1/005,
122428-2024,ES2116215A1,"ELECTROSONDA PARA MEDIR EL CONTENIDO DE HUMEDAD DEL SUELO Y LA COMPACTACION DEL MISMO, METODO DE MEDIDA CORRESPONDIENTE Y UTILIZACION DE DICHA ELECTROSONDA.","ELECTROSONDA PARA MEDIR EL CONTENIDO DE HUMEDAD DEL SUELO Y LA COMPACTACION DEL MISMO, METODO DE MEDIDA CORRESPONDIENTE Y UTILIZACION DE DICHA ELECTROSONDA. SE PROPORCIONA UNA SONDA PARA MEDIR POR MEDIO DE UN GEORESISTIMETRO LA RESISTIVIDAD ELECTRICA DEL SUELO EN SENTIDO VERTICAL. LA SONDA PREVISTA EN FORMA DE PICA TIENE PAREJAS DE ELECTRODOS EMISORES (5A-5A) Y RECEPTORES (5B-5B) MONTADOS AL REDEDOR DE UN TUBO (2) PARA GENERAR UNA SEÑAL ELECTRICA DE EXCITACION Y RECIBIR UNA SEÑAL ELECTRICA DE RETORNO QUE ES FUNCION DEL GRADO DE HUMEDAD DEL SUELO Y DE LA COMPACTACION DEL MISMO. LA ELECTROSONDA, ADEMAS DE SERVIR PARA REALIZAR PLANIMETRIAS DE LOS GRADOS DE HUMEDAD DEL SUELO Y DE SU COMPACTACION POR LAS ACCIONES DE LABOREO SEL MISMO, PUEDE UTILIZARSE PARA GENERAR UNA SEÑAL DE CONTROL, PARA GOBIERNO AUTOMATICO DE UNA INSTALACION DE RIEGO.",,
122428-2024,ES2756998A1,DISPOSITIVO LUMINOSO DE EMERGENCIAS ESCAMOTEABLE,"Es un dispositivo de señalización de peligro destinado a la seguridad vial, con dos columnas luminosas cilíndricas abatibles que enmarcan un triángulo de señalización de peligro autodesplegable, todo ello alojado en un espacio específico habilitado al efecto que permite su ocultación plegado en la misma carrocería de un vehículo. Activándose de forma automática en caso de accidente o por decisión voluntaria del usuario. Tras su uso posibilita el rearme de manera sencilla para siguientes usos.",B60Q1/52,
122428-2024,ES2397768A1,Terminal multimedia con medida de parámetros vitales,"Terminal multimedia con medida de parámetros vitales, del tipo de los utilizados principalmente en hospitales, residencias o viviendas para posibilitar el acceso a redes de comunicación, de televisión y contenidos multimedia a personas yacentes en cama, que comprende, junto a los elementos para el uso multimedia, un módulo de medidas multicanal con presentación de los resultados de las medidas en la misma pantalla, estando dotado con la circuitería electrónica y medios de comunicación apropiados para la conexión con sondas para electrocardiogramas completos, pulsioxímetros, tensiómetros, sondas de temperatura, etc... La invención que se presenta aporta la principal ventaja de permitir la realización de medidas, almacenamiento y envío de parámetros vitales con el mismo dispositivo multimedia existente en cada habitación, e introducirlas automáticamente y simultáneamente a la historia clínica del paciente, de forma económica y cómoda, evitando el transporte de los equipos de medida entre las habitaciones de los pacientes.",A61B5/05; A61B5/742; A61B5/743; G16H40/63; G16Z99/00; A61B5/14551; A61B5/0205,
122428-2024,ES2411281A2,EQUIPO ELECTRONICO DE CONTROL Y SUPERVISION PARA UNIDADES CONDENSADORAS DE FRIO,"Equipo electrónico de control y supervisión para unidades condensadoras de frío, que comprende, dentro de una caja (2) protectora, una circuitería (1) electrónica gestionada por un micro-controlador (5) programable, contando con una primera entrada (E1) (digital) para señal de encendido (9); una segunda entrada (E2) (analógica) conectada a sonda de presión (12) intercalada en la tubería de alta; una tercera entrada (E3) a sonda de temperatura (10) ambiente; una cuarta entrada (E4) a una segunda sonda de temperatura (19) del gas de aspiración; una primera salida (S1) a relé (24) para control del compresor (16); una segunda salida (S2) a triac para control de los ventiladores (13); una tercera salida auxiliar (S3), para funciones opcionales; dos elementos de señalización local de alarmas, por LED tricolor (8) y zumbador (4); y un conector RJ45 (6) que combina puerto serie RS232 y conexión ICSP para configuración y envío de alarmas remotas.",G05B11/32; F25B49/005; Y02B30/70,
122428-2024,ES2037587A2,INSTALACION DE CAPTACION Y TRATAMIENTO DE LAS LECTURAS DE LOS CONTADORES DE REDES DE DISTRIBUCION DE FLUIDOS.,"INSTALACION DE CAPTACION Y TRATAMIENTO DE LAS LECTURAS DE LOS CONTADORES DE REDES DE DISTRIBUCION DE FLUIDOS. PARTIENDO DE UNA INSTALACION CON CONTADORES DE CONSUMO DE FLUIDO CON UN CAPTADOR, CONECTADOS PERMANENTEMENTE CON CONCENTRADORES PRIMARIOS A LOS QUE TRANSMITEN IMPULSOS DE LECTURA, SE HACE QUE DICHA INSTALACION COMPRENDA ADEMAS CONCENTRADORES SECUNDARIOS Y CONCENTRADORES TERCIARIOS, QUE CADA CONCENTRADOR PRIMARIO ESTE CONECTADO PERMANENTEMENTE CON UNO DE LOS CONCENTRADORES SECUNDARIOS Y TENGA MEDIOS PARA TRANSMITIRLE IMPULSOS DE LECTURA Y PARA RECIBIR IMPULSOS DE CONTROL PROCEDENTES DE DICHO CONCENTRADOR SECUNDARIO, Y QUE CADA CONCENTRADOR SECUNDARIO ESTE CONECTADO CON EL CONCENTRADOR TERCIARIO O CON UNO DE LOS CONCENTRADORES TERCIARIOS Y TENGA MEDIOS PARA TRANSMITIRLE IMPULSOS Y PARA RECIBIR IMPULSOS DE CONTROL PROCEDENTES DE DICHO CONCENTRADOR TERCIARIO. LA INVENCION SE APLICA A REDES DE FLUIDOS PARA CENTRALIZAR SU CONTROL.",,
122428-2024,ES2199673A1,SISTEMA PARA LA PURIFICACION DEL AIRE EN LA ATMOSFERA INTERIOR DE EDIFICIOS.,"Sistema para la purificación del aire en la atmósfera interior de edificios. El aire del interior de edificios, contaminado con diversos compuestos volátiles o gases permanentes se pone en contacto con uno de los lados de una membrana con características de separación apropiadas. La membrana puede ser polimérica o inorgánica, y en este último caso, microporosa o mesoporosa. Al otro lado de la membrana se introduce una corriente de aire (o de otro gas) con una baja o nula concentración de contaminantes, por ejemplo aire procedente del exterior del edificio. Alternativamente, la fuerza impulsora para el transporte de los contaminantes puede ser inducida mediante vacío. Los contaminantes son así transportados selectivamente al exterior del edificio purificándose la atmósfera interior.",,
146289-2024,ES2928677A1,Sistema de conduccion ecoeficiente adaptado a la modelización tridimensional geoposicionada de la parametrización del trazado de cualquier infraestructura lineal particularizado al vehiculo,"Sistema de conducción, con modo asistido (170) y autónomo (180), adaptado a un modelo tridimensional geoposicionado de parametrización de los elementos del trazado (60) de cualquier infraestructura lineal, que transmite instrucciones al vehículo (110) en cada punto del recorrido escogido en tiempo real, particularizado a cada vehículo en función sus características (80), desde un dispositivo (40) instalado en el mismo desde el cual se gobiernan los distintos sistemas integrantes de la invención, en función de su geoposición real traspuesta al modelo (70), en condiciones de seguridad, confort y máxima eficiencia energética mediante la gestión del ahorro energético, calculando los momentos del recorrido en los cuales no es necesario el accionamiento del sistema de propulsión, aprovechando las energías que intervienen en el movimiento del vehículo y las fuerzas resultantes, para ahorrar energía y/o generarla en motores recargables, todo adaptado a los principios del trazado",G05D1/021; G08G1/167; G01S13/931; G05D1/0212; B60K31/00,
146289-2024,ES2307355A1,GENERADOR DE AGUA POTABLE POR CONDENSACION DEL VAPOR DEL AIRE.,"Generador de agua por condensación del vapor del aire. Se trata de la obtención de agua potable por condensación del vapor de agua del aire mediante el apoyo de una instalación frigorífica. La particularidad de nuestro sistema es que no necesita agua de otras fuentes, pues ella misma la obtiene de la humedad del aire. El aire después de ser filtrado, es enfriado con el aire de retorno ya tratado. Posteriormente es enfriado por debajo del punto de rocío con lo que el vapor de agua empezará a condensar. Obteniendo agua potable semejante a la de lluvia, el aire deshidratado sigue la evolución y se empleará para enfriar el aire entrante y al líquido frigorígeno, con lo que aumentaremos sensiblemente el rendimiento del generador.",B01D5/00; E03B3/28; Y02A20/00; Y02A20/152,
146289-2024,ES2600452A1,Método y sistema de mantenimiento predictivo de edificios y estructuras.,"Método y sistema de mantenimiento predictivo de edificios y estructuras, que prevé la instalación de una serie de sensores (S1, S2, S3, ..., Sn) colocados en lugares estratégicos del edificio o de la estructura a controlar, en la cual o bien cada uno de los sensores está conectado mediante cableado a un nodo (NS) que está dotado de una antena de transmisión inalámbrica con un nodo central de comunicación (NC); o bien cada sensor (S1, S2) dispone de medios propios de comunicación inalámbrica y directamente transmite los datos recogidos a dicho nodo central de comunicaciones (NC); presentando cada nodo central una antena de salida que comunica los datos recibidos a un servidor (Serv) existente en un centro de datos (CD), al cual se conectan varios terminales de usuario (T1, T2, T3, ..., Tn) para controlar y gestionar su edificio, que incluye una herramienta informática de predicción (HP), que en función de parámetros físicos y químicos que se miden en los sensores estima el comportamiento y deterioro de la estructura o edificio en el futuro, mediante algoritmos (Alg) que correlacionan los parámetros físico-químicos con los procesos patológicos que se pueden dar en función del tiempo.",A45C13/02; G06Q50/08; A45C13/103; A45C5/14; A45C7/0054; A45C2005/035,
146289-2024,ES2303457A1,SISTEMA CONSTRUCTIVO.,"Sistema constructivo que tiene un módulo de vivienda, módulo de cubierta, módulo de terraza, módulo de fachada, edificación y útil de elevación para constituir una edificación a partir de los módulos. El módulo de vivienda (3) tiene una solera (31), un techo (34T) y pilares entre la solera (31) y el techo (34T). Los pilares tienen embebida una pieza polivalente (32) que sirve para apilar un módulo sobre otro. El módulo de cubierta corona la edificación, mientras que el módulo de terraza (359) y el módulo de fachada (310) pueden ser colocados en zonas periféricas de la edificación. El útil de elevación sirve para transportar y colocar el módulo de vivienda (3) en la ubicación deseada para completar una edificación.",B66C1/666; E04B1/343; E04B1/348; E04G21/142; E04B1/34823,
146289-2024,ES2394994A1,DISPOSITIVO DE CONDUCCIÓN ASISTIDA,"Dispositivo de conducción asistida para vehículos que constituye una interfaz hombre - máquina para facilitar la conducción de vehículos (3) propulsados por motores tales como sillas de ruedas, carros eléctricos, etc. y que básicamente comprende un sensor táctil (1) destinado a instalarse en el asa o manillar (2) del vehículo y medios para el procesado y acondicionamiento de la información que proporciona el sensor (1) de forma que las intenciones del usuario se transformen en instrucciones al sistema motor del vehículo.",G05G1/02; G05G1/52; B60L2200/34,
146289-2024,ES2537651A1,Sistema modular estandarizado para la construcción de centros sanitarios u hospitalarios,"La invención prevé la distribución de los distintos espacios del hospital de acuerdo con una serie de módulos de idéntica anchura que se disponen paralelamente entre dos pasillos, un pasillo de circulación técnica (PT) y un pasillo de circulación pública (PP), de modo que entre dichos dos pasillos se establecen los comentados módulos (M1-M2-M3) para zonas técnicas, mixtas y públicas, definiéndose tres zonas perfectamente diferenciadas y cuyo flujo de usuarios se ve optimizado. Los módulos se dividen longitudinalmente en sub-módulos con unas dimensiones preestablecidas de manera que las estancias destinadas a implantarse en su seno son proporcionales a dichas medidas, permitiendo múltiples distribuciones ajustándose a dichas medidas. Para ampliar el hospital solo es preciso alargar los comentados pasillos y añadir los módulos que sean necesarios, siendo fácilmente redistribuibles los módulos ya existentes si es necesario debido a su naturaleza modular.",E04H3/08; E04H1/005,
146289-2024,ES2641296A1,"PROCEDIMIENTO, SISTEMA DE CONTROL, NODO DE TRANSDUCTORES, Y PRODUCTO DE PROGRAMA INFORMÁTICO PARA HACER, QUE UNOS O MÁS TRANSDUCTORES COMRENDIDOS EN EL NODO SEAN ACCESIBLES A UNA RED DE TRANSDUCTORES A TRAVÉS DE NODOS DE TRANSDUCTORES INTELIGENTES","Procedimiento, sistema de control, nodo de transductores y producto de programa informático para hacer, por parte de un nodo de transductores y/o por parte de un sistema de control, que unos o más transductores comprendidos en el nodo sean accesibles a una red de transductores cuando el nodo está conectado a la red de transductores. La presente invención se refiere a procedimientos para hacer accesible uno o más transductores de forma automática a una red de transductores, a través de nodos de transductores inteligentes que comprenden al menos uno de los citados transductores; la invención también se refiere a la red de transductores que comprende un sistema de control y al menos un nodo de transductores, configurados para ejecutar los citados procedimientos; de acuerdo con la invención también se definen unos productos de programa informático para llevar a cabo dichos procedimientos.",H04W48/16; H04W84/18; H04L67/125,
146289-2024,ES2923946A1,CARTÓN-TIERRA,"Cartón-tierra. Plancha de 1,5 cm de espesor compuesta por tres capas que se coloca directamente sobre la superficie a cultivar. Dirigido a usuarios con capacidades reducidas para solucionar problemas muy habituales de la horticultura, ahorrándoles trabajos y recursos, y aumentando seguridad y satisfacción. Innovaciones: 1. El cartón de la capa superior y el papel de la inferior, reciclados y compostables, van impregnados en purín de ortigas. 2. La capa superior lleva indicados mediante impresión los marcos de plantación, puntos de aireación, y de riego. 3. Composición de la capa intermedia. {IMAGEN} El usuario logra con menos esfuerzo un suelo fértil y equilibrado, protegido de hierbas adventicias e insolación gracias a este material seco, ligero, seguro, fácil de transportar y manejar, recortable y adaptable a cualquier forma del terreno, mesa de cultivo o maceta.",A01C1/04,
146289-2024,ES2319487A1,SISTEMA DE CONSTRUCCION MODULAR,"Sistema de construcción modular. El sistema comprende unos bloques modulares (1a,...1n) constituidos por elementos constructivos de hormigón y material aislante, presentando las paredes (11) laterales formas adecuadas para su adosado lateral configurando un edificio o construcción mayor. Dichos bloques modulares (1a,...1n) presentan unos elementos de anclaje (18a, 18b) mutuo en las caras exteriores del techo (12) y suelo (13) para su acoplamiento mutuo apilado. En paredes (11), techo (12) y suelo (13), se encuentran unas aberturas para la formación de puertas (21), ventanas (22), escaleras y pasos (23a, 23b) entre módulos y al exterior. Las paredes (11), techo (12) y suelo (13), están constituidos por dos capas (14) de hormigón armado entre las que se encuentra una capa (15) de material aislante, estando los mallazos (16) de ambas capas (14) de hormigón armado unidas mediante elementos metálicos (17) o análogos.",E04B1/34823,
146289-2024,ES2532132A1,Sistema vestible para interacción con entornos remotos mediante información gestual y sensaciones táctiles y procedimiento de uso,"Sistema vestible para interacción con entornos remotos mediante información gestual y sensaciones táctiles y procedimiento de uso. La presente invención consiste en un sistema vestible (1) que interactúa con un sistema remoto (2) intercambiando información gestual y sensaciones táctiles. El sistema vestible (1) envía información gestual que aporta un usuario humano (3) a través de un traje háptico de captura de movimiento (4) y guantes hápticos de datos (5). El sistema remoto (2) es estimulado por la información gestual recibida y envía al sistema vestible (1) sensaciones táctiles relacionadas a la reacción ante dichos estímulos. El sistema vestible (1) puede utilizarse para tareas de operación remota de máquinas (9) como manipuladores, vehículos autónomos o simuladores de realidad virtual (10). También puede aplicarse en el análisis de procedimientos de rehabilitación. Adicionalmente, dos o más sistemas vestibles (1) pueden utilizarse para complementar la interacción social a distancia entre dos o más usuarios humanos (3).",A61B5/103,
