demand_id,description_text,language_code,judgment
418642-2024,"Partenariat d'innovation pour la conception et la fourniture de matériaux géosourcés issus des terres d'excavation dans le cadre de la construction du futur collège de LEVENS",fr,GENERIC_PROCUREMENT
423350-2024,"Établissement des études et exécution des travaux pour la réalisation de l'opération de résorption de l'habitat insalubre du quartier dit de « Roquefure » à Apt",fr,GENERIC_PROCUREMENT
427107-2025,"Marché public global de partenariat d'innovation pour la conception et construction de structures pénitentiaires pour courtes peines (QCP)",fr,GENERIC_PROCUREMENT
457264-2024,"El objeto del contrato es el suministro de un sistema de reactores de metanol, mediante la investigación y desarrollo en los procesos químicos de hidro-conversión de CO2 (capturado) utilizando hidrógeno verde (renovable) para obtención de un metanol verde con un contenido en metanol superior al 90,00 % en peso.",es,TECHNICAL_PROBLEM
577468-2024,"Das Forschungsvorhaben hat zum Ziel, ein neues innovatives Verfahren zur Entsorgung von kommunalen Klärschlämmen im Sinne des § 3 Absatz 1 der AbfKlärV zu entwickeln. Dabei ist besonderer Fokus auf die Entwicklung eines Verfahrens zur Phosphorrückgewinnung zu legen, welche ab 2032 verbindlich vom Gesetzgeber gefordert wird. Der rückgewonnene Phosphor soll als Ersatzdüngemittel eingesetzt werden können. Parallel hierzu soll die Verwertung des Klärschlamms derart optimiert werden, dass diese CO2-neutral erfolgen kann: Dies kann geschehen, indem die im Klärschlamm enthaltene Energie als Ersatzbrennstoff eingesetzt oder als Energieressource gespeichert wird. Zu erforschen ist, ob und wie hieraus ein kommunaler Mehrwert bei der Verwertung des Klärschlamms entsteht, der die Kosten für die Beseitigung des Klärschlamms mindestens teilweise ausgleichen kann. Die als Stand der Technik vorhandenen Monoverbrennungs- oder Mitverbrennungsanlagen sind hierfür aus Sicht des Abwasserwerks noch nicht geeignet, da die Verbrennungswärme zwar teilweise energetisch genutzt wird, hieraus jedoch kein kommunaler Mehrwert entsteht und zudem mehr oder weniger lange Transportwege für den Klärschlamm erforderlich werden. Zwischen Auftraggeber und Auftragnehmer sind im Rahmen der Verhandlungsphase jährliche Forschungs- und Entwicklungsetappen sowie Zwischenziele zu vereinbaren, die mess-/prüfbar sind und Vertragsbestandteil im Rahmen der Zahlungskonditionen werden.",de,TECHNICAL_PROBLEM
588217-2024,"Die gegenständliche Innovationspartnerschaft zielt darauf ab, einen oder mehrere geeignete Partner für die Entwicklung einer cyanid-freien bzw. giftfreien Technologie auf Basis ionischer Flüssigkeiten zur elektrogalvanischen Vergoldung von Metallgegenständen zu finden.",de,TECHNICAL_PROBLEM
588871-2024,"The development and subsequent delivery of a number of specific use cases described in the Request to Participate. Maximum total budget is 10 mln. Euro.",en,EMPTY_INSUFFICIENT
591207-2024,"Marche de conception-réalisation pour la réhabilitation en site occupe de 216 logements collectifs: programme BIM Maquette numérique ""Bonne pratiques et Expérimentation"" Site de Bel Air Grand Font Angoulême 16000",fr,GENERIC_PROCUREMENT
654218-2024,"Auftragsgegenständlich die Errichtung eines Wohnbauprojekts gemäß Bebauungsstudie (dzt Stand 09/2024) und die Finanzierung durch Wohnungsverkauf, beinhaltend die Projektentwicklung und Bebauung (schlüsselfertig) durch einen Bauträger als Wohnbauprojekt nach den Vorgaben der Gemeinde.",de,GENERIC_PROCUREMENT
70792-2026,"Auswahl eines:einer Kreativpartner:in für die Entwicklung und Umsetzung integrierter Kommunikationskampagnen des Wiener Tourismusverbandes",de,GENERIC_PROCUREMENT
794374-2025,"Auftragsgegenständlich ist die Standortfindung und die Errichtung eines Seniorenwohnheims in Verbindung mit einer Kinderbetreuungseinrichtung - im südwestlichen Großraum Salzburgs inklusive Beibringung des geeigneten Grundstückes sowie der Finanzierung.",de,GENERIC_PROCUREMENT
820594-2025,"Předmětem veřejné zakázky v aplikovaném výzkumu a inovacích je získání návrhů způsobů řešení a vlastního řešení projektu, a to formou řízení o inovačním partnerství na služby v aplikovaném výzkumu nebo inovacích. Projekt má atributy aplikovaného výzkumu nebo inovace. Předmět řešení je věcně vymezen jako Projektový rámec v Příloze č. 1 ZD. Účelem této veřejné zakázky je v rámci níže uvedených fází najít nejvhodnější řešení, a to skrze uzavření smlouvy o poskytnutí podpory dle ZPVV, na základě které budou nanejvýše 3 účastníci zpracovávat řešení/návrh projektu. S každým účastníkem bude uzavřena smlouva samostatná. Následně bude v příslušné fázi inovačního partnerství snížen počet účastníků na jednoho účastníka, se kterým bude uzavřena smlouva o poskytnutí podpory, jejímž předmětem bude vytvoření řešení, které vyplynulo z předchozích fází inovačního partnerství.",cs,GENERIC_PROCUREMENT
