Family_ID,Publication_Numbers,Compound,Relevance_Class,Therapeutic_Application,Formulation,Drug_Delivery,Combination_Therapy,Diagnostic_Application,Manufacturing,Chemical_Modification,Conjugation,Purification_Isolation,Other_Application,Evidence,Confidence,Human_Review
pub:HK-40019879-A,HK-40019879-A,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a long list (~30 items) of known cancer drugs/biologics as background for a TRAILSHORT-antibody invention; unrelated core invention.,High,No
54241398,EP-3319936-B1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long (~100+) generic drug list for a bridge-linker conjugation-chemistry invention; unrelated core invention.,High,No
58714966,AU-2018268304-B2,Brentuximab_vedotin,Indirectly Relevant,No,No,No,Yes,No,No,No,No,No,,"Claim 17 specifically states the antibody-drug conjugate combined with the claimed anti-SIRPalpha antibody 'is trastuzumab emtansine or brentuximab vedotin' -- one of only two specifically named ADC combination options, not a background list.",Medium,Yes
45840985,US-20150125443-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long generic antibody list for a combined antibody/endoglycosidase therapy invention; unrelated core invention.,High,No
51351332,EP-2958564-B1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Same PI3K-modulator pattern and Markush list as family 50681898; brentuximab vedotin one of ~30 combinable agents, not the invention's focus.",High,No
52396337,US-20180002435-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~20-item list of mAb-specific epitopes for a chimeric-antigen-receptor sorting system; unrelated core invention.,High,No
50473801,US-20200376092-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a very long generic antibody list of candidate cell-binding molecules for P97-fragment technology; unrelated core invention.,High,No
63350600,ES-2978396-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Same ~150+-item generic antibody list as family 63350601, in a sister patent on real-time mass-spectrometry sample preparation; unrelated invention.",High,No
50341876,US-20160166697-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a long background list (~30 items) of known cancer antibodies for a general cancer-treatment method; unrelated core invention.,High,No
58634582,EP-4046655-A9,Brentuximab_vedotin,Incidental Mention,No,No,No,Yes,No,No,No,No,No,,"Brentuximab vedotin is one of ~13 chemotherapy/targeted-agent options in a Markush-style combination option for anti-PD-1 antibody use; list length places it closer to generic-list Incidental than a singled-out embodiment, though borderline.",Medium,Yes
66166525,US-12405275-B2,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long (~150+) generic antibody list for a trypsin-resistant-polypeptide preparation method; unrelated core invention.,High,No
66949183,IL-275500-B2,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a long list (~40 items) of known immunomodulatory drugs as background for C5aR-inhibitor compounds; unrelated core invention.,High,No
68054774,EP-3773563-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Same C5aR-antagonist pattern and drug list as family 66949183; brentuximab vedotin one of ~40 background examples, not the invention's focus.",High,No
49551134,US-9931359-B2,Brentuximab_vedotin,Incidental Mention,No,No,No,Yes,No,No,No,No,No,,"Brentuximab vedotin is one of 8 named ADCs in a Markush-style list of options for an anti-tumor antibody/drug-conjugate infusion method; a real but generic alternatives list, not a singled-out claim.",Medium,Yes
55077927,HK-1232224-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Same PI3K/kinase-inhibitor combinable-agent pattern and long Markush list as families 50681898/51351332; brentuximab vedotin not singled out.,High,No
47720472,ES-2806678-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long (~200+) generic list of antibody-class therapeutic proteins the claimed mRNA histone-stem-loop expression platform could encode.,High,No
65001137,AU-2018299536-B2,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Same long combinable-kinase-inhibitor/antibody list pattern as related PI3K-modulator families; brentuximab vedotin not singled out.,High,No
63038706,EP-4632080-A2,Brentuximab_vedotin,Incidental Mention,No,No,No,No,Yes,No,No,No,No,,"Same viral-disease-risk-assessment invention concept as the Directly Relevant family 67874498, but this claim uses a broader ~15-item immunosuppressive-medicament Markush list rather than naming brentuximab vedotin specifically -- list length places it as Incidental despite the related invention, flagged given the nuance.",Medium,Yes
47073382,US-20150272945-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a very long generic chemotherapy-drug list as background for a masitinib patient-subpopulation-selection invention; unrelated core invention.,High,No
59311397,NZ-743923-A,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long (200+) generic antibody-name list for a chimeric-proteins/immunotherapy invention; unrelated core invention.,High,No
68982441,EP-4427810-A2,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin is one of ~11 named bridging-chemotherapy options for an adoptive-cell-therapy method; a real but generic alternatives list.,High,No
pub:HK-40003517-B,HK-40003517-B,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Same NLRP3-modulator pattern and drug list already classified Incidental under family 63036509 (ES-3002968-T3); this is another family member with the same pattern.,High,No
63350601,ES-2978397-T3,Brentuximab vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long (~150+) generic antibody-name list illustrating sample types for the claimed real-time glycan-assay system; unrelated invention (analytical instrumentation).,High,No
57942495,CA-2991868-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin (as brand name Adcetris) appears only in an extremely long (200+) generic cancer-drug-name list for a MSPD2/cancer invention; unrelated core invention.,High,No
77520789,IL-298855-A,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Brentuximab vedotin is one of 9 named ADCs in a Markush-style list of options for a deoxyuridine-triphosphatase-inhibitor combination-therapy claim; borderline given the shorter list, but still a generic-alternatives format.",Medium,Yes
47624111,EP-2809657-B1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a ~25-item list of other therapeutic agents combinable with the claimed novel therapeutic agents; unrelated core invention.,High,No
63407234,US-20200281932-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in an extremely long generic drug-name list for a copanlisib-formulation invention; unrelated core invention.,High,No
62145906,JP-2020502065-A,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a long list (~20 items) of known cancer antibodies/drugs as background for a dihydroimidazole-pyrimido-pyrimidine-ketone compound invention; unrelated core invention.,High,No
70005713,WO-2020168156-A1,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Same extremely long generic antibody-list pattern as related real-time-assay/sample-prep families (e.g. 66182633); unrelated core invention.,High,No
65955185,IL-277421-A,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin (Adcetris) appears only among ~10 branded biologics listed as examples for a compositions invention; unrelated core invention.,High,No
75686256,IL-292570-A,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,Brentuximab vedotin appears only in a list of known therapeutic antibodies as background for CD73-inhibitor compounds; unrelated core invention.,High,No
pub:IN-201747032980-A,IN-201747032980-A,Brentuximab_vedotin,Incidental Mention,No,No,No,No,No,No,No,No,No,,"Brentuximab vedotin (Adcetris) is discussed only as prior-art background describing the known CD30-ADC class, for an invention about FLT3-targeted ADCs; not the claimed invention.",High,No
